,placeID,latitude,longitude,Service,Count,ave_rating
55,134976,18.916654,-99.22711,Mediterranean,12,1.3250000000000002
56,134976,18.916654,-99.22711,Mexican,12,1.3250000000000002
57,134983,18.948657,-99.235361,Bar,10,1.14
58,134983,18.948657,-99.235361,Bar_Pub_Brewery,10,1.14
59,134986,18.928798,-99.239513,International,8,2.7
60,134999,18.915421,-99.184871,Japanese,5,1.7399999999999998
61,135018,18.859803,-99.222164,Mexican,4,1.6
62,135019,18.875011,-99.159422,Bar,6,1.0166666666666668
63,135021,18.933537,-99.222497,Fast_Food,9,0.7555555555555556
64,135025,22.14955,-100.97797,Mexican,15,1.7066666666666666
65,135026,22.148665,-101.001273,Bar,22,1.3090909090909089
66,135026,22.148665,-101.001273,Bar_Pub_Brewery,22,1.3090909090909089
67,135027,22.147145,-100.974494,Mexican,8,0.425
68,135028,22.146658,-100.987219,Mexican,15,1.2933333333333332
69,135030,22.14788,-100.989472,Cafe-Coffee_Shop,24,1.1749999999999998
70,135030,22.14788,-100.989472,Cafeteria,24,1.1749999999999998
71,135032,22.152481,-100.973486,Cafeteria,56,0.9178571428571428
72,135032,22.152481,-100.973486,Contemporary,56,0.9178571428571428
73,135034,22.140517000000006,-101.021422,Japanese,5,2.14
74,135035,22.145813,-101.018032,Italian,4,1.5
75,135039,22.145893,-100.97487,Seafood,12,0.8000000000000003
76,135041,22.15106,-100.977659,Bar,34,0.8882352941176471
77,135041,22.15106,-100.977659,Cafeteria,34,0.8882352941176471
78,135042,22.159357,-100.973411,Chinese,20,1.12
79,135043,22.185756,-100.944518,Fast_Food,18,0.8555555555555556
80,135043,22.185756,-100.944518,Pizzeria,18,0.8555555555555556
81,135044,22.141848,-100.997475,Chinese,4,0.575
82,135046,22.141282,-101.002958,Fast_Food,11,0.8
83,135048,22.142017000000006,-100.999246,Bar,6,1.2333333333333334
84,135049,22.135011,-101.0286,Seafood,5,0.68
85,135052,22.150981,-100.977412,Bar,50,1.168
86,135052,22.150981,-100.977412,Bar_Pub_Brewery,50,1.168
87,135053,22.178931,-101.012861,Cafeteria,24,0.8
88,135053,22.178931,-101.012861,Fast_Food,24,0.8
89,135053,22.178931,-101.012861,Pizzeria,24,0.8
90,135054,22.140626,-100.915657,Seafood,10,0.63
91,135055,22.148854,-101.008472,Mexican,7,2.3142857142857136
92,135057,22.145992,-100.955118,Bar,15,1.1
93,135058,22.165587,-101.001273,Pizzeria,18,0.461111111111111
94,135059,22.145108,-100.989547,Bar,9,0.977777777777778
95,135060,22.156883,-100.978485,Seafood,22,0.9363636363636364
96,135069,22.140129,-100.944872,Bar,12,0.15833333333333335
97,135071,22.126375,-100.910926,Bar,18,0.9000000000000001
98,135071,22.126375,-100.910926,Bar_Pub_Brewery,18,0.9000000000000001
99,135072,22.149192000000006,-101.002936,Japanese,8,1.0875
100,135073,22.147175,-100.974269,Bar,8,0.925
101,135073,22.147175,-100.974269,Bar_Pub_Brewery,8,0.925
102,135074,22.149689,-100.999525,Contemporary,4,1.85
103,135075,22.139573,-100.991564,Seafood,13,1.6076923076923075
104,135079,22.156376,-100.998355,Chinese,17,0.8705882352941177
105,135085,22.150802,-100.98268,Fast_Food,36,1.2027777777777775
106,135086,22.141421,-101.013955,Burgers,20,0.2
107,135086,22.141421,-101.013955,Fast_Food,20,0.2
108,135088,18.8760113,-99.2198896,Cafeteria,6,0.6166666666666667
109,135104,23.752982100000004,-99.16843409999998,Mexican,7,0.6857142857142858
110,135106,22.149708800000006,-100.9760928,Mexican,10,1.41
111,135109,18.9217848,-99.2353499,Italian,4,0.575
